lda_dim,SemEval2017_CoTagRankWindow,SemEval2017_CoTagRankUSE,SemEval2017_EmbedRankSentenceUSE
64,0.273600,0.279000,0.257400
128,0.274000,0.278400,0.257600
192,0.273800,0.279600,0.257600
256,0.273700,0.280000,0.257700
